"fate","id","Spring","terrRug","humPop","fi","mooseHunt","wolfNeighbour","dogattack","artificial_area_total","killedWolves","sheepAttacks","IncAvg1998_2021","bearDensity"
"1","G14-06",2009,0.413,11.489,0.433594,3.2,2,47,0.00197,16,44,241293.666666667,0.000103156
"0","D-08-20",2009,0.159,19.6,0.324219,2.7,0,2,0.00303,1,6,244473.958333333,0
"0","D-09-23",2009,0.348,41.217,0.290039,2.4,3,8,0.00446,1,7,241161.375,0
"1","G23-07",2009,0.201,5.635,0.438477,2.9,0,10,0.0032,12,0,NA,0.000254099
"1","G13-07",2009,0.2,23.98,0.1875,2.4,1,20,0.00253,1,29,268843.666666667,0.001145721
"0","D-09-22",2009,0.363,29.08,0.267578,3.2,2,21,0,10,13,228473.458333333,8.04e-05
"0","D-08-02",2008,0.413,12.681,0.214844,3.6,1,13,0,8,7,243939.916666667,1.41e-06
"0","D-08-03",2008,0.266,1.35,0.293457,2.3,0,0,0.00245,3,0,244528.708333333,0.000305492
"1","G7-03",2008,0.212,39.56,0.1875,2.9,1,8,0.00409,5,9,252556.375,0
"0","D-07-23",2008,0.169,15,0.219727,2.6,0,20,0.00053,1,29,268843.666666667,0.001229563
"1","G17-05",2008,0.154,11.68,0.28125,3.1,0,5,0,2,0,236247.916666667,0.000620626
"1","G100-11",2008,0.259,1.69,0.296875,2.9,0,13,0.00342,65,0,NA,0.000242118
"1","G9-07",2008,0.182,4.9,0.265625,2.4,3,26,0,14,18,236247.916666667,0.002507438
"1","D-07-27",2008,0.252,4.7,0.324219,2.6,3,7,0.00038,8,8,229955.125,0.000213482
"1","G18-07",2007,0.193,7.888,0.314453,2.6,1,3,0,4,0,NA,5.79e-06
"1","M-05-02",2007,0.16,13.3,0.28125,2.7,1,42,0,12,17,241579.958333333,0.001101112
"1","G11-06",2007,0.379,18.05,0.269531,2.6,0,12,0.0048,0,0,228604.541666667,0
"0","M-05-08",2007,0.428,12.125,0.125,3.9,1,21,0.00221,4,9,238039.5,1.91e-05
"0","D-07-15",2007,0.209,5.564,0.256836,2.6,0,10,0.0032,12,0,NA,5.77e-05
"1","D-07-10",2007,0.178,15.033,0.219727,2.8,1,13,0.00028,8,13,250727.041666667,0.00078983
"1","G3-05",2007,0.338,10.425,0.256836,2.8,1,7,0.00044,8,8,251975.083333333,5.86e-05
"1","G2-07",2006,0.358,8.615,0.235352,3.8,1,14,0,6,7,232660.041666667,0
"1","G6-03",2006,0.2,5.551,0.269531,2.6,0,10,0.0032,12,0,NA,0.000141879
"0","D-05-23",2006,0.153,7.275,0.234375,3.9,0,5,5e-04,2,0,242509.25,0.000365242
"0","D-06-12",2006,0.197,10.35,0.219727,2.7,2,15,0.00166,12,10,240807.208333333,0.001099342
"1","M-02-09",2005,0.346,8.845,0.234375,4.2,1,14,0,6,7,232660.041666667,0
"0","D-04-13",2005,0.131,4.8,0,3.5,3,21,0.00146,2,12,234002,0.001643133
"1","M-04-04",2005,0.415,7,0.269531,4.6,2,21,0.00189,4,9,238039.5,3.21e-06
"0","M-04-02",2005,0.213,39.28,0.234375,4.2,0,8,0.00936,5,9,252556.375,0
"1","G14-05",2005,0.358,0.988,0.296875,2.6,1,13,0.00385,65,0,NA,1.22e-05
"0","D-05-13",2005,0.18,23.667,0.296875,2.6,1,10,0.00953,12,0,NA,2.17e-07
"1","M-02-08",2004,0.398,17.943,0.234375,3.2,0,8,0.00164,1,18,228604.541666667,0
"0","D-04-07",2004,0.212,1.2,0.269531,2.8,0,2,1e-04,26,6,227041.125,0.000198244
"0","D-03-15",2004,0.196,5.525,0.210938,2.8,1,10,0.00238,12,0,NA,7.95e-06
"1","M-02-07",2004,0.276,21.7,0.269531,4.5,1,7,0.00078,6,3,232725.375,0
"1","G2-02",2003,0.37,1.023,0.125,2.7,0,13,0.00119,65,0,NA,4.14e-07
"1","M-02-03",2003,0.305,10.475,0.125,3.8,0,9,0.00302,16,11,251975.083333333,9.54e-08
"1","M-00-06",2003,0.32,5.5,0.1875,4.5,0,20,0,0,18,238039.5,2.24e-05
"1","G1-02",2002,0.441,14.92,0.125,5.3,0,14,0.00075,6,7,233443.666666667,0
"1","M-00-01",2002,0.327,8.746,0.125,3.8,0,14,0,7,0,NA,0
"0","D-01-18",2001,0.388,1.893,0.125,2.5,1,13,0.00048,65,0,NA,2.73e-06
"1","M-00-04",2001,0.298,11.8,0.125,3.4,0,9,0.00191,16,11,251975.083333333,3.84e-05
"0","D-00-15",2001,0.362,1.05,0.125,2.5,2,13,0.00307,65,0,NA,2e-05
"1","M-98-02",1999,0.321,8.26,0.375,4.6,1,21,0,10,13,228473.458333333,1.66e-06
